Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
678.2811769,X1-1,X2-2,X3-1,X4-1,X5-13,0.059639147,46,42,125,2,3,0.55,20,1728,20,0.8
682.1836151,X1-1,X2-2,X3-1,X4-1,X5-13,0.059824984,46,42,125,2,3,0.55,20,1728,20,0.8
637.0540647,X1-1,X2-2,X3-1,X4-1,X5-13,0.059879075,46,42,125,2,3,0.55,20,1728,20,0.8
674.5572342,X1-1,X2-2,X3-1,X4-1,X5-13,0.05992015,46,42,125,2,3,0.55,20,1728,20,0.8
706.3511927,X1-1,X2-2,X3-1,X4-1,X5-13,0.061279235,47,52,125,2,3,0.55,20,1728,20,0.8
683.6098019,X1-1,X2-2,X3-1,X4-1,X5-13,0.062128417,46,42,125,2,3,0.55,20,1728,20,0.8
740.4057129,X1-1,X2-2,X3-1,X4-1,X5-13,0.064225396,47,52,125,2,3,0.55,20,1728,20,0.8
704.764891,X1-1,X2-2,X3-1,X4-1,X5-13,0.064244023,47,52,125,2,3,0.55,20,1728,20,0.8
680.9518819,X1-1,X2-2,X3-1,X4-1,X5-13,0.068415995,46,42,125,2,3,0.55,20,1728,20,0.8
1392.992611,X1-1,X2-1,X3-1,X4-1,X5-18,0.034855807,176,187,125,8,6,0.75,8,216,20,0.8
480.1884662,X1-1,X2-1,X3-1,X4-1,X5-18,0.143790894,176,187,125,8,6,0.75,8,216,20,0.8
478.5855063,X1-1,X2-1,X3-1,X4-1,X5-18,0.145324,176,187,125,8,6,0.75,8,216,20,0.8
500.3456451,X1-1,X2-1,X3-1,X4-1,X5-18,0.162125201,176,187,125,8,6,0.75,8,216,20,0.8
504.3262526,X1-1,X2-1,X3-1,X4-1,X5-18,0.165801168,176,187,125,8,6,0.75,8,216,20,0.8
507.5350547,X1-1,X2-1,X3-1,X4-1,X5-18,0.166109255,176,187,125,8,6,0.75,8,216,20,0.8
508.3870459,X1-1,X2-1,X3-1,X4-1,X5-18,0.166218906,176,187,125,8,6,0.75,8,216,20,0.8
504.2091577,X1-1,X2-1,X3-1,X4-1,X5-18,0.166672829,176,187,125,8,6,0.75,8,216,20,0.8
499.6286162,X1-1,X2-1,X3-1,X4-1,X5-18,0.166715386,176,187,125,8,6,0.75,8,216,20,0.8
508.6692801,X1-1,X2-1,X3-1,X4-1,X5-18,0.166727144,176,187,125,8,6,0.75,8,216,20,0.8
508.5821312,X1-1,X2-1,X3-1,X4-1,X5-18,0.166819772,176,187,125,8,6,0.75,8,216,20,0.8
500.9909529,X1-1,X2-1,X3-1,X4-1,X5-18,0.166925165,176,187,125,8,6,0.75,8,216,20,0.8
489.5167589,X1-1,X2-1,X3-1,X4-1,X5-18,0.167240746,176,187,125,8,6,0.75,8,216,20,0.8
504.2861014,X1-1,X2-1,X3-1,X4-1,X5-18,0.167459166,176,187,125,8,6,0.75,8,216,20,0.8
496.6351593,X1-1,X2-1,X3-1,X4-1,X5-18,0.167672952,176,187,125,8,6,0.75,8,216,20,0.8
507.058236,X1-1,X2-1,X3-1,X4-1,X5-18,0.168056936,176,187,125,8,6,0.75,8,216,20,0.8
508.916991,X1-1,X2-1,X3-1,X4-1,X5-18,0.168475794,176,187,125,8,6,0.75,8,216,20,0.8
505.0991114,X1-1,X2-1,X3-1,X4-1,X5-18,0.169462795,176,187,125,8,6,0.75,8,216,20,0.8
497.7911878,X1-1,X2-1,X3-1,X4-1,X5-18,0.169603697,176,187,125,8,6,0.75,8,216,20,0.8
507.4548564,X1-1,X2-1,X3-1,X4-1,X5-18,0.171020058,176,187,125,8,6,0.75,8,216,20,0.8
510.1545095,X1-1,X2-1,X3-1,X4-1,X5-18,0.171587336,176,187,125,8,6,0.75,8,216,20,0.8
502.6877768,X1-1,X2-1,X3-1,X4-1,X5-18,0.172270085,176,187,125,8,6,0.75,8,216,20,0.8
500.9512914,X1-1,X2-1,X3-1,X4-1,X5-18,0.225297641,176,187,125,8,6,0.75,8,216,20,0.8
507.5417127,X1-1,X2-1,X3-1,X4-1,X5-18,0.258182668,176,187,125,8,6,0.75,8,216,20,0.8
1276.268149,X1-1,X2-2,X3-1,X4-1,X5-18,0.043012975,208,194,107,8,6,0.75,8,216,10,0.7
1267.700522,X1-1,X2-2,X3-1,X4-1,X5-18,0.043311514,208,194,107,8,6,0.75,8,216,10,0.7
